order_id,item_id,quantity
1,39,5
1,29,3
1,15,1
1,43,2
1,8,4
1,21,3
1,39,3
1,19,2
1,23,2
1,11,3
1,11,1
1,24,1
1,36,4
1,40,1
1,24,3
2,3,4
2,22,5
3,2,5
3,24,3
3,44,5
4,30,1
4,38,2
4,2,3
5,21,4
5,33,3
5,12,4
5,22,3
6,44,3
6,25,1
6,49,5
6,27,2
6,42,5
6,28,2
6,16,2
7,15,5
7,47,2
7,44,3
7,3,1
7,37,2
7,7,1
7,21,3
7,9,4
7,39,3
8,18,4
8,4,4
8,25,4
8,14,2
8,50,3
8,9,2
8,26,2
9,2,4
9,20,3
9,28,2
9,47,2
9,7,5
9,44,4
9,8,1
9,47,1
9,35,1
9,14,2
9,17,2
9,36,4
9,50,5
9,40,1
9,4,4
9,2,4
9,6,5
9,42,4
9,4,5
10,29,5
10,18,3
10,26,3
10,44,1
11,34,4
11,10,1
11,36,3
11,14,5
11,31,2
11,48,5
12,15,5
12,8,2
12,14,2
12,23,3
12,40,2
12,21,5
12,16,5
12,45,1
12,18,5
12,47,3
12,24,4
12,26,1
12,25,1
12,45,3
12,41,3
12,29,2
12,15,1
13,45,4
13,1,1
13,25,5
14,7,2
14,9,3
14,24,5
14,1,5
14,44,4
14,8,2
14,24,5
14,11,2
14,17,3
14,8,4
14,35,3
14,35,4
14,33,5
14,5,4
14,42,1
14,39,2
14,41,2
14,28,1
15,7,5
15,9,2
15,8,5
15,12,2
15,34,1
15,33,1
15,48,1
15,23,2
15,24,1
15,37,1
15,35,3
15,44,1
15,40,5
15,22,2
15,27,3
15,35,4
15,1,2
15,35,5
15,37,2
16,47,4
16,14,2
16,3,1
16,1,1
16,5,4
16,26,3
16,14,4
16,39,4
16,27,4
16,9,1
16,15,1
16,15,1
16,26,4
16,42,3
16,13,1
16,32,2
17,39,4
17,49,2
17,32,4
17,4,2
17,30,3
17,37,4
17,23,2
17,39,1
17,45,4
17,15,5
17,43,1
17,29,1
17,36,5
17,13,1
17,32,1
17,7,2
17,22,2
17,28,4
18,2,4
18,42,1
18,45,2
18,6,4
18,28,1
18,28,4
18,44,3
19,44,5
19,20,4
19,30,2
19,11,2
19,28,3
19,25,2
19,39,1
19,33,5
19,1,5
19,27,1
19,13,3
19,41,1
19,3,1
19,39,5
20,6,5
20,8,1
21,27,4
21,9,1
21,37,5
21,33,2
21,42,5
21,44,5
21,24,1
21,15,5
22,32,5
22,32,5
22,24,3
22,41,3
22,49,2
22,49,3
22,12,2
22,39,3
22,2,4
22,3,2
22,49,3
22,37,4
22,49,3
22,17,1
22,49,1
22,2,4
22,2,5
22,28,5
22,23,1
23,37,3
23,32,1
23,33,2
23,1,3
23,19,3
24,2,5
24,44,1
24,26,5
24,32,3
24,6,1
24,32,2
24,4,3
24,11,1
24,17,1
24,38,5
24,24,2
24,5,3
24,34,3
24,6,5
24,22,2
24,11,3
24,48,2
24,16,3
24,33,5
24,9,4
25,6,4
25,16,3
25,29,1
26,3,2
26,20,4
26,36,5
26,19,4
26,26,5
26,3,1
26,19,1
26,20,1
26,32,2
27,7,5
27,41,2
27,33,4
27,40,2
27,39,1
27,18,3
27,40,3
27,1,1
27,11,3
27,28,2
27,25,2
27,50,1
27,23,3
27,31,5
27,30,4
27,42,5
27,35,2
27,7,2
27,16,2
28,26,2
29,48,3
29,49,2
29,2,1
29,1,4
29,48,1
29,12,4
29,5,2
29,37,2
30,32,2
30,9,2
30,41,1
30,35,2
30,19,4
30,48,3
30,16,3
30,3,1
30,20,3
30,24,3
31,33,1
32,24,1
32,11,5
33,49,4
33,8,5
33,36,5
33,38,1
33,40,4
33,20,5
33,35,2
33,48,3
33,25,1
33,35,4
33,25,1
34,29,1
34,18,3
34,46,5
34,18,3
34,2,1
34,35,3
34,16,5
34,41,3
34,36,4
34,33,3
34,4,4
34,33,3
34,14,5
34,21,2
35,48,5
35,20,5
35,8,3
35,7,4
35,3,5
35,17,1
36,33,4
36,48,5
36,12,5
36,22,3
36,22,4
36,46,4
36,30,4
37,38,3
37,38,5
37,45,5
38,8,3
38,27,2
38,27,2
38,34,2
38,21,1
38,30,1
38,33,2
38,28,4
39,47,5
39,33,2
39,5,4
39,48,4
39,19,4
39,4,2
39,35,2
39,49,1
39,17,1
39,44,4
39,28,2
39,30,2
39,29,5
39,46,4
40,6,4
40,35,2
40,41,4
40,37,5
41,24,5
41,29,4
41,49,5
41,46,4
41,31,2
41,35,4
41,33,4
41,21,3
41,32,2
41,23,3
41,33,5
41,3,4
41,18,2
41,25,3
41,42,4
41,31,1
41,3,3
41,40,2
41,46,3
41,24,3
42,50,2
42,32,2
42,47,4
42,22,2
42,23,2
43,2,3
43,27,5
43,42,4
43,2,4
43,26,1
43,17,2
43,40,4
43,33,4
43,9,5
43,43,1
43,48,5
43,39,4
43,29,4
43,42,1
44,26,5
44,35,5
44,50,5
44,25,2
44,24,4
44,13,2
44,7,3
44,36,4
44,45,4
44,20,1
44,1,4
44,8,3
44,46,4
44,16,2
45,14,5
45,12,1
45,23,4
45,15,5
45,28,5
45,34,1
45,2,1
45,32,4
45,23,2
45,22,4
45,25,2
45,22,1
45,22,3
45,49,4
45,42,3
45,6,2
45,15,4
45,43,3
45,37,3
45,33,4
46,8,1
46,44,4
46,44,1
46,5,5
46,39,1
46,4,3
46,6,2
46,45,1
46,32,1
47,30,5
48,47,1
48,35,5
48,40,2
48,16,4
48,13,3
48,50,3
48,42,2
48,30,5
48,19,5
48,17,1
48,19,2
48,28,3
48,26,1
48,37,5
48,26,1
48,23,3
49,9,1
49,12,5
49,1,2
49,1,1
49,47,3
49,34,5
49,32,1
50,48,4
50,25,3
50,40,1
50,45,5
50,1,3
50,16,1
50,39,4
50,5,4
50,22,1
50,29,4
50,3,3
50,12,4
50,26,2
50,16,4
50,37,2
50,22,5
50,29,3
50,14,5
51,28,5
51,5,3
51,47,3
51,49,2
51,30,1
51,46,3
51,5,4
51,12,2
51,16,4
51,26,5
51,26,5
51,48,4
51,21,3
51,39,1
52,36,4
52,33,2
52,30,3
52,37,3
52,23,3
52,10,3
53,5,2
53,36,1
53,34,2
53,31,4
53,10,4
53,19,5
53,32,2
53,1,4
53,5,4
53,45,4
53,4,1
53,16,1
53,24,3
53,16,2
53,2,4
53,49,2
53,28,3
54,32,5
54,27,3
54,20,4
54,24,5
54,12,3
54,50,3
54,35,4
54,33,3
54,33,3
54,43,3
54,37,2
54,12,1
54,3,2
54,1,3
54,33,1
54,40,5
54,10,2
54,43,2
55,44,5
55,29,5
55,13,3
55,12,1
55,31,2
55,46,3
55,2,2
55,50,3
55,35,2
55,23,3
55,17,1
55,26,5
55,8,2
55,29,3
55,26,1
55,10,1
55,26,5
55,34,3
55,41,2
56,7,5
57,4,3
57,50,2
57,45,1
57,11,3
57,29,4
57,36,1
57,25,1
57,21,4
57,36,4
57,10,1
57,37,5
57,9,1
57,24,2
57,35,2
57,49,5
58,35,1
58,48,5
58,36,4
58,18,5
58,49,5
58,39,5
58,32,2
58,24,5
59,23,3
59,32,5
59,37,4
59,12,3
59,49,5
59,13,5
59,23,1
59,25,5
59,35,1
59,41,2
59,30,2
59,17,3
59,49,1
59,20,2
59,48,2
60,25,4
61,22,1
61,13,2
61,19,3
61,49,3
61,36,4
61,12,1
61,41,2
61,19,3
61,12,5
61,9,2
62,7,3
62,28,2
62,14,1
62,31,1
62,19,2
63,47,1
63,16,4
63,5,3
63,35,4
63,12,3
63,25,5
63,21,5
63,36,4
63,23,4
63,16,1
63,39,5
63,45,1
63,42,4
63,39,3
63,14,5
64,31,2
64,5,5
64,35,5
65,23,1
65,29,2
65,43,4
65,11,5
65,18,4
65,47,3
65,12,2
65,9,5
65,10,4
65,44,4
65,17,1
65,38,4
65,7,3
65,46,4
65,13,3
65,40,3
65,42,1
65,9,2
65,50,3
66,27,5
66,2,1
66,5,4
66,29,1
66,37,3
66,38,3
66,19,3
66,8,1
66,48,4
66,45,5
66,1,1
66,22,5
66,17,4
67,7,5
67,25,3
67,45,5
67,4,4
67,36,4
67,6,1
67,31,2
68,19,4
68,44,4
68,39,1
68,27,1
68,10,5
68,26,2
68,19,2
68,39,3
68,3,5
68,45,1
69,13,1
69,50,4
69,28,1
69,20,2
69,28,4
69,8,3
69,41,5
69,39,3
70,1,4
70,3,5
70,13,2
70,28,4
70,49,2
70,25,5
70,33,5
70,38,2
71,6,3
71,44,5
71,45,3
